구매오더,회사코드,구매오더품번,자재,자재내역,자재유형,자재그룹,오더수량,오더단위,금액,통화,납품일,납품상태,플랜트,입고일,입고수량,입고금액(현지통화),품목유형
4500301384,1300,10,1300376,"OPADRY 03B44003 PINK(별규, Colorcon)",ROH1,B110,50.0,KG,4121.5,USD,2026-03-20,정상,1320,2026-03-11,50.0,6070145.0,일반
4500301384,1300,20,1001097,오파드라이 II 85F92582 옐로우,ROH1,B110,75.0,KG,5750.25,USD,2026-03-20,정상,1320,2026-03-11,75.0,8468968.0,일반
4500301384,1300,30,1300194,"OpadryYellow 03F32421 (별규,Colorcon)",ROH1,B110,50.0,KG,4121.5,USD,2026-03-20,정상,1320,2026-03-11,50.0,6070145.0,일반
4500301384,1300,40,1300195,"Opadry white 03F28436(별규,Colorcon)",ROH1,B110,50.0,KG,4121.5,USD,2026-03-20,정상,1320,2026-03-11,50.0,6070145.0,일반
4500301403,1300,10,1300054,OPADRY 08B620000 YELLOW,ROH1,B110,75.0,KG,5883.75,USD,2026-03-20,정상,1320,2026-03-17,75.0,8802090.0,일반
4500302426,1300,10,1400436,"Chenodeoxycholic acid(CDCA, [CH], Sic)",ROH1,B100,6000.0,KG,726000.0,USD,2026-03-10,정상,1310,2026-03-06,6000.0,1063081800.0,UDCA
4500302475,1300,10,1000966,"Chenodeoxycholic acid (CDCA, [C])",ROH1,B100,7300.0,KG,766500.0,USD,2026-03-13,정상,1310,2026-03-10,7300.0,1144461150.0,UDCA
4500302565,1300,10,1300115,"Chenodeoxycholic acid (CDCA, CNU용)",ROH1,B100,500.0,KG,56500.0,USD,2026-03-13,정상,1310,2026-03-10,500.0,84360150.0,UDCA
4500302566,1300,10,1300461,"Chenodeoxycholic acid (CDCA, [CH])",ROH1,B100,3000.0,KG,375000.0,USD,2026-03-10,정상,1310,2026-03-10,3000.0,559912500.0,UDCA
4500303231,1300,10,1300017,Sodium bromate (NaBrO3),ROH1,B110,300.0,KG,2970.0,USD,2026-03-13,정상,1310,2026-03-13,300.0,4395006.0,일반
4500303248,1300,10,1300365,"crude-Choline alphoscerate (85%, HunanWa",ROH1,B100,9750.0,KG,731250.0,USD,2026-03-18,정상,1310,2026-03-18,9750.0,1090732500.0,콜린
4500303251,1300,10,1301804,"crude Ursodeoxycholic acid (c-UDCA, DMF)",ROH1,B100,4000.0,KG,544000.0,USD,2026-03-19,정상,1310,2026-03-19,4000.0,808384000.0,UDCA
4500303428,1300,10,1301804,"crude Ursodeoxycholic acid (c-UDCA, DMF)",ROH1,B100,3000.0,KG,408000.0,USD,2026-03-30,정상,1310,2026-03-30,3000.0,615304800.0,UDCA
