구매오더,회사코드,구매오더품번,자재,자재내역,자재유형,자재그룹,오더수량,오더단위,금액,통화,납품일,납품상태,플랜트,입고일,입고수량,입고금액(현지통화),품목유형
4500304004,1300,10,1000711,"Cefaclor Hydrate(동방, USP)",ROH1,B100,600.0,KG,136800.0,USD,2026-05-27,정상,1330,2026-05-26,600.0,207019440.0,세파
4500304334,1300,10,1000663,Cefaclor Hydrate(도파),ROH1,B100,403.6,KG,115026.0,USD,2026-05-16,정상,1330,2026-04-16,403.6,169444801.0,세파
4500304913,1300,10,1300115,"Chenodeoxycholic acid (CDCA, CNU용)",ROH1,B100,750.0,KG,90000.0,USD,2026-05-06,정상,1310,2026-04-28,750.0,132579000.0,UDCA
4500305218,1300,10,1001157,"crude-Ubidecarenone (c-CoQ10, Shaan xi)",ROH1,B100,200.0,KG,30600.0,USD,2026-05-08,정상,1310,2026-05-08,200.0,44394480.0,UDCA
4500305314,1300,10,1301804,"crude Ursodeoxycholic acid (c-UDCA, DMF)",ROH1,B100,6000.0,KG,945000.0,USD,2026-05-08,정상,1310,2026-05-08,6000.0,1371006000.0,UDCA
4500305672,1300,10,1001079,"crude-Choline alphoscerate (85%, Weiqida",ROH1,B100,11220.0,KG,645150.0,USD,2026-05-19,정상,1310,2026-05-18,11220.0,967595970.0,콜린
4500305931,1300,10,1000954,crude Ursodeoxycholic acid (c-UDCA),ROH1,B100,6000.0,KG,891000.0,USD,2026-05-19,정상,1310,2026-05-19,6000.0,1339529400.0,UDCA
4500305959,1300,10,1300461,"Chenodeoxycholic acid (CDCA, [CH])",ROH1,B100,6000.0,KG,759000.0,USD,2026-05-26,정상,1310,2026-05-26,6000.0,1148594700.0,UDCA
4500306082,1300,10,1000949,Cholic acid (CA),ROH1,B100,25.0,KG,3312.5,USD,2026-05-29,정상,1310,2026-05-29,25.0,4987963.0,UDCA
4500306224,1300,10,1001079,"crude-Choline alphoscerate (85%, Weiqida",ROH1,B100,7140.0,KG,410550.0,USD,2026-05-29,지연,1310,2026-06-01,7140.0,617138760.0,콜린
