구매오더,회사코드,구매오더품번,자재,자재내역,자재유형,자재그룹,오더수량,오더단위,금액,통화,납품일,납품상태,플랜트,입고일,입고수량,입고금액(현지통화),제품군,품목유형
4500267561,1200,30,7000802,인스타닐나잘스프레이 50㎍ 1병(펜타닐시트르산염),HAWA,A160,1000.0,EA,15360.0,EUR,2026-03-01,지연,1210,2026-04-17,1000.0,26606899.0,인스타닐,상품
4500268238,1200,20,7000305,다이아벡스XR 서방정 1000MG 60T,HAWA,A900,150000.0,EA,645000.0,EUR,2026-03-31,정상,1210,2026-03-02,147120.0,1084284845.0,다이아벡스,상품
4500268239,1200,50,7000304,다이아벡스XR 서방정 500mg 60T,HAWA,A900,180000.0,EA,414000.0,EUR,2026-03-31,정상,1210,2026-03-04,173424.0,679978641.0,다이아벡스,상품
4500273472,1200,20,1000050,Metformin hydrochloride(Merck),ROH1,B100,14250.0,KG,256500.0,EUR,2026-03-21,정상,1230,2026-03-21,14025.0,430704945.0,메포민,라이선스
4500275553,1200,10,1000003,Aceclofenac(Almirall),ROH1,B100,250.0,KG,66250.0,EUR,2026-03-18,정상,1230,2026-03-18,250.0,112261288.0,Aceclofenac,라이선스
4500275798,1200,10,1301430,"Mosapride Citrate hydrate(JP,SUMITOMO)",ROH1,B100,214180.0,G,80188992.0,JPY,2026-03-02,정상,1210,2026-03-02,214180.0,745909985.0,Mosapride,라이선스
4500276783,1200,20,8000047,올메텍플러스정 반제품,HAGU,A220,2720000.0,TB,35686400.0,JPY,2026-03-01,지연,1230,2026-05-15,2698000.0,330770829.0,올메텍,반제
4500276784,1200,20,8000901,올메텍정 10mg 반제품,HAGU,A220,5000000.0,TB,40250000.0,JPY,2026-03-01,지연,1210,2026-04-27,2441000.0,182277794.0,올메텍,반제
4500276785,1200,20,8000037,올메텍정 20mg 반제품,HAGU,A220,3750000.0,CP,45000000.0,JPY,2026-03-01,지연,1230,2026-03-25,3760000.0,419485152.0,올메텍,반제
4500276786,1200,10,8000052,올메텍정 40mg 반제품,HAGU,A220,630000.0,TB,8599500.0,JPY,2026-03-01,지연,1230,2026-03-07,626000.0,79406047.0,올메텍,반제
4500276871,1200,110,7300174,스타빅현탁액 20mL 100PP(20포X5EA),HAWA,A190,2284.0,EA,30514.24,USD,2026-03-19,정상,1210,2026-03-09,2284.0,44010688.0,스타빅,상품
4500277182,1200,10,1301430,"Mosapride Citrate hydrate(JP,SUMITOMO)",ROH1,B100,222970.0,G,83479968.0,JPY,2026-03-10,정상,1210,2026-03-09,222970.0,775762647.0,Mosapride,라이선스
4500277536,1200,10,1000425,Pyridoxine HCl (Jiangxi Tianxin),ROH1,B100,1200.0,KG,43800.0,USD,2026-03-13,정상,1210,2026-03-13,1200.0,62393100.0,비라이선스,비라이선스
4500300335,1200,10,1000278,Gabapentin(Chiral),ROH1,B100,400.0,KG,18000.0,USD,2026-03-13,정상,1210,2026-03-13,400.0,25975800.0,비라이선스,비라이선스
4500300341,1200,10,1000420,Primidone,ROH1,B100,200.0,KG,35000.0,USD,2026-03-31,정상,1210,2026-03-31,200.0,52346000.0,비라이선스,비라이선스
4500300448,1200,10,1000053,Opadry AMB2 88A180040 White(Colorcon),ROH1,B110,500.0,KG,39355.0,USD,2026-03-06,지연,1210,2026-03-10,500.0,56061198.0,오파드라이,오파드라이
4500300449,1200,10,1000394,Opadry AMB yellow 80W22608,ROH1,B110,300.0,KG,22647.0,USD,2026-03-06,지연,1210,2026-03-10,300.0,32260652.0,오파드라이,오파드라이
4500300451,1200,10,1000390,Opadry AMB 오렌지80W630016,ROH1,B110,25.0,KG,1954.25,USD,2026-03-06,지연,1210,2026-03-10,25.0,2783829.0,오파드라이,오파드라이
4500300453,1200,10,1000055,Opadry White (OY.C 7000A)(Colorcon),ROH1,B110,300.0,KG,15489.0,USD,2026-03-06,지연,1210,2026-03-10,300.0,22064081.0,오파드라이,오파드라이
4500300986,1200,10,1000557,Zinc Oxide(Hakusui),ROH1,B100,1000.0,KG,15500.0,USD,2026-03-16,정상,1210,2026-03-16,1000.0,22454850.0,비라이선스,비라이선스
4500301038,1200,10,1000060,OPADRY 03B44038 Pink(Colorcon),ROH1,B110,50.0,KG,4121.5,USD,2026-03-05,지연,1230,2026-03-06,50.0,5916001.0,오파드라이,오파드라이
4500301385,1200,10,1000055,Opadry White (OY.C 7000A)(Colorcon),ROH1,B110,50.0,KG,2581.5,USD,2026-03-12,정상,1230,2026-03-12,50.0,3806422.0,오파드라이,오파드라이
4500302169,1200,10,1000447,PLGA (Resomer RG503H),ROH1,B110,2500.0,G,28250.0,EUR,2026-03-26,정상,1230,2026-03-26,2500.0,48829560.0,비라이선스,비라이선스
4500302237,1200,10,1300487,에포시스 원액(인도네시아) NEW,ROH1,B100,21390.0,ML,327053.1,USD,2026-03-13,정상,1210,2026-03-13,21390.0,481683806.0,에포시스원액,라이선스
4500302492,1200,10,1000325,"Leuprolide Acetate(PPL, India)",ROH1,B100,390.0,G,81900.0,USD,2026-03-25,정상,1230,2026-03-25,390.0,122162040.0,비라이선스,비라이선스
